7e463d1f44a4ca96afb9fa36a874ba14fbe0149b20f0aa4ee00fdc667a8aab84,c5023b8a6f501bf83b7aef405c41d1d6997373ebc0f85417af8fa83d85eb092b,e6548a3466daa08d7c29a4ffb15fa3fa8a01a9d020b6f0aee02393ea34c18f12,1e796daf178b10cc979562016d41e05dc23127e4896c746253bbfdbcb77373f0,eb508df275fc509d15e9ce2bbb391a7eb497d30a652e330b5d030cf771c1b99a
"提升物理防禦力（不可降低）","300108004","83001080","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108005","83001080","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108006","83001080","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少TP下降","300108007","83001080","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害降低","300108008","83001080","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108009","83001080","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"魔法傷害降低","300108010","83001080","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","boss_magic_cut"
"風屬性獎勵特大幅度提升","300108101","83001081","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108102","83001081","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108103","83001081","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108104","83001081","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108105","83001081","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108106","83001081","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108107","83001081","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108108","83001081","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300108201","83001082","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108202","83001082","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108203","83001082","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108204","83001082","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108205","83001082","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108206","83001082","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108207","83001082","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108208","83001082","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300108301","83001083","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108302","83001083","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108303","83001083","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108304","83001083","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108305","83001083","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108306","83001083","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108307","83001083","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108308","83001083","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300108401","83001084","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108402","83001084","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108403","83001084","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108404","83001084","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108405","83001084","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108406","83001084","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108407","83001084","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108408","83001084","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300108501","83001085","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108502","83001085","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108503","83001085","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108504","83001085","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108505","83001085","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108506","83001085","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108507","83001085","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108508","83001085","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"危險領域","300108601","83001086","戰鬥中，發動「造成中毒」效果。","25"
"風屬性獎勵特大幅度提升","300108602","83001086","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108603","83001086","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108604","83001086","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108605","83001086","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108606","83001086","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108607","83001086","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108608","83001086","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108609","83001086","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"賦予毒","300108610","83001086","戰鬥開始時，使全體角色中毒。","10"
"風屬性獎勵特大幅度提升","300108701","83001087","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108702","83001087","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108703","83001087","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108704","83001087","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108705","83001087","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108706","83001087","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108707","83001087","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108708","83001087","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300108801","83001088","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108802","83001088","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","300108803","83001088","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","300108804","83001088","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","300108805","83001088","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","300108806","83001088","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","300108807","83001088","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","300108808","83001088","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"風屬性獎勵特大幅度提升","300108901","83001089","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","14"
"深域怪物","300108902","83001089","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
