07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"","","vo_fpc","918","0","","21","","vo_fpc_21800","","19180015"
"0","0.5","113511","918","1","8","11","0","伊緒老師，就是這樣。\n踢水踢得很棒喔～♪","0","19180016"
"","","0","918","","","91","","","","19180017"
"","","0.5","918","","","93","","0","","19180018"
"","","vo_fpc","918","0","","21","","vo_fpc_21801","","19180019"
"0","0.5","110111","918","1","7","11","0","是、是的！嘿咻、嘿咻……\n對不起，難得來到泳池\n還讓妳陪我練習……","0","19180020"
"","","0","918","","","91","","","","19180021"
"","","0.5","918","","","93","","0","","19180022"
"","","vo_fpc","918","0","","21","","vo_fpc_21802","","19180023"
"0","0.5","113511","918","1","9","11","0","沒關係的。\n因為老師永遠是努力的孩子的夥伴唷♪","0","19180024"
"","","0","918","","","91","","","","19180025"
"","","0.5","918","","","93","","0","","19180026"
"","","12","918","","","32","","0","","19180027"
"","","42","918","","","32","","1","","19180028"
"","","41","918","","","32","","1","","19180029"
"0.1","","113511","918","18_misato_idle_loop","0","3","1","18_misato_idle_in","0.1","19180030"
"0.1","","110111","918","18_io_stopSwim_loop","0","3","1","18_io_stopSwim_in","0.1","19180031"
"","","vo_fpc","918","0","","21","","vo_fpc_21803","","19180032"
"0","0.5","110111","918","1","8","11","0","但是，我也是老師，\n明明應該要去教導人才對……","0","19180033"
"","","0","918","","","91","","","","19180034"
"","","0.5","918","","","93","","0","","19180035"
"0.1","","113511","918","18_misato_talk_loop","0","3","1","18_misato_talk_in","0.1","19180036"
"","","vo_fpc","918","0","","21","","vo_fpc_21804","","19180037"
"0","0.5","113511","918","1","8","11","0","我認為這種即便從現在開始\n也要學習什麼的經驗，\n一定會對教導孩子們\n有幫助的。","0","19180038"
"","","0","918","","","91","","","","19180039"
"","","0.5","918","","","93","","0","","19180040"
"","","vo_fpc","918","0","","21","","vo_fpc_21805","","19180041"
"0","0.5","113511","918","1","8","11","0","而且……\n學生也有各式各樣的孩子，\n所以有各種老師在不是很好嗎？","0","19180042"
"","","0","918","","","91","","","","19180043"
"","","0.5","918","","","93","","0","","19180044"
"0.1","","110111","918","18_io_guts_loop","0","3","1","18_io_guts_in","0.1","19180045"
"","","vo_fpc","918","0","","21","","vo_fpc_21806","","19180046"
"0","0.5","110111","918","1","10","11","0","美里老師……\n我會加油的！\n不管是教課，還是游泳……","0","19180047"
"","","0","918","","","91","","","","19180048"
"","","0.5","918","","","93","","0","","19180049"
"0.1","","110111","918","18_io_flutterKick2_loop","0","3","1","18_io_flutterKick2_in","0.1","19180050"
"","","110111","918","1.8552036199095","-180","2","","300","","19180051"
"","","42","918","1.8552036199095","-180","33","","300","","19180052"
"","","12","918","1.8552036199095","-180","33","","300","","19180053"
"","","42","918","","","32","","0","","19180054"
"","","12","918","","","32","","1","","19180055"
"","","1","918","","","93","","0","","19180056"
"0.1","","113511","918","18_misato_talk2_loop","0","3","1","18_misato_talk2_in","0.1","19180057"
"","","19180051","918","","","91","","","","19180058"
"","","110111","918","3.23529411764706","-180","2","","850","","19180059"
"","","42","918","3.23529411764706","-180","33","","850","","19180060"
"","","12","918","3.23529411764706","-180","33","","850","","19180061"
"","","42","918","","","32","","1","","19180062"
"","","12","918","","","32","","0","","19180063"
"0.1","","113511","918","18_misato_surprise_loop","0","3","1","18_misato_surprise_in","0.1","19180064"
"0.1","","110111","918","18_io_accident_loop","0","3","1","18_io_accident_in","0.1","19180065"
"","","vo_fpc","918","0","","21","","vo_fpc_21807","","19180066"
"0","0.5","110111","918","1","10","11","0","呀！我的泳裝！","0","19180067"
"","","0","918","","","91","","","","19180068"
"","","0.5","918","","","93","","0","","19180069"
"","","vo_fpc","918","0","","21","","vo_fpc_21808","","19180070"
"0","0.5","113511","918","1","9","11","0","伊緒老師！？\n哎呀哎呀～！","0","19180071"
"","","0","918","","","91","","","","19180072"
"","","0.5","918","","","93","","0","","19180073"
"0","","113511","918","cmn_swm_breastStroke","0","3","1","18_misato_breastStroke_in","0.1","19180074"
"","","41","918","","","32","","0","","19180075"
"","","11","918","","","32","","1","","19180076"
"","","113511","918","3.61990950226244","-180","2","","850","","19180077"
"","","11","918","3.61990950226244","-180","33","","850","","19180078"
"","","19180059","918","","","91","","","","19180079"
"","","19180077","918","","","91","","","","19180080"
"1.75","19_nozomi_float","1","919","-850","22","1","-180","117211","0","19190001"
"1.75","19_suzuna_float","1","919","-1150","22","1","-180","110011","0","19190002"
"1.4875","19_tsumugi_search","1","919","-750","12","1","-15","117411","0","19190003"
"1","","6","919","-180","-820","31","1","61","","19190004"
"1","","121","919","-180","-850","31","1","1211","","19190005"
"0","","122","919","-180","150","31","1","1221","","19190006"
"1","","6","919","-180","-1150","31","1","62","","19190007"
"1","","121","919","-180","-1180","31","1","1212","","19190008"
"0","","122","919","-180","-180","31","1","1222","","19190009"
"","","117211","919","","","13","","45","","19190010"
"","","110011","919","","","13","","45","","19190011"
"","","117411","919","","","13","","45","","19190012"
"","","se_10053800","919","","1","23","","se_fpc_water_random","","19190013"
"","","117411","919","","","13","","49","","19190014"
"","","19190012","919","","","91","","0","","19190015"
"","","117411","919","9.92647058823529","-15","2","","330","","19190016"
"","","3.5","919","","","93","","0","","19190017"
"","","vo_fpc","919","0","","21","","vo_fpc_21900","","19190018"
"0","0.5","117411","919","1","10","11","0","小望跑去哪裡了啊？\n我想到新服裝的點子了說……","0","19190019"
"","","0","919","","","91","","","","19190020"
"","","0.5","919","","","93","","0","","19190021"
"","","19190016","919","","","91","","","","19190022"
"0.1","","117211","919","","1","3","","19_nozomi_float","","19190023"
"0.1","","117411","919","19_tsumugi_notice_loop","0","3","1","19_tsumugi_notice_in","0.1","19190024"
"","","0.2","919","","","93","","0","","19190025"
"","","vo_fpc","919","0","","21","","vo_fpc_21901","","19190026"
"0","0.5","117411","919","1","9","11","0","哎呀？那是……上游有什麼\n發光的東西……","0","19190027"
"","","0","919","","","91","","","","19190028"
"","","0.5","919","","","93","","0","","19190029"
"","","117211","919","7.35294117647059","-180","2","12","150","","19190030"
"","","61","919","7.35294117647059","-180","33","12","180","","19190031"
"","","1211","919","7.35294117647059","-180","33","12","150","","19190032"
"","","110011","919","7.35294117647059","-180","2","12","-150","","19190033"
"","","62","919","7.35294117647059","-180","33","12","-150","","19190034"
"","","1212","919","7.35294117647059","-180","33","12","-180","","19190035"
"","","2","919","","","93","","0","","19190036"
"0.1","","117411","919","19_tsumugi_dazzled_loop","0","3","1","19_tsumugi_dazzled_in","0.1","19190037"
"","","19190030","919","","","91","","","","19190038"
"","","vo_fpc","919","0","","21","","vo_fpc_21902","","19190039"
"-30","0.5","117211","919","1","6","11","0","墨丘利度假村‧紫藤\n有各種區域，\n真的好好玩呢！","0","19190040"
"","","0","919","","","91","","","","19190041"
"","","0.5","919","","","93","","0","","19190042"
"","","vo_fpc","919","0","","21","","vo_fpc_21903","","19190043"
"0","0.5","110011","919","1","10","11","0","對吧──♪這裡超好拍的吧？\n來拍照吧拍照～！","0","19190044"
"","","0","919","","","91","","","","19190045"
"","","0.5","919","","","93","","0","","19190046"
"","","vo_fpc","919","0","","21","","vo_fpc_21904","","19190047"
"0","0.5","117411","919","1","8","11","0","咦，妳們兩個在做什麼啊！？\n話說不會太耀眼了嗎？","0","19190048"
"","","0","919","","","91","","","","19190049"
"","","0.5","919","","","93","","0","","19190050"
"","","61","919","0","-180","33","","150","","19190051"
"","","1211","919","0","-180","33","","120","","19190052"
"","","117211","919","","","4","","1","","19190053"
"","","117211","919","19_nozomi_float","0","3","1","19_nozomi_notice_float","0.1","19190054"
"","","vo_fpc","919","0","","21","","vo_fpc_21905","","19190055"
"-30","0.5","117211","919","1","8","11","0","啊，紡希！\n都是因為鈴奈的魅力氣場\n很厲害的關係啦！","0","19190056"
"","","0","919","","","91","","","","19190057"
"","","0.5","919","","","93","","0","","19190058"
"","","vo_fpc","919","0","","21","","vo_fpc_21906","","19190059"
"0","0.5","110011","919","1","7","11","0","咦～望望的偶像氣場\n也還是一樣閃閃發光的，\n簡直讚到不行啊！","0","19190060"
"","","0","919","","","91","","","","19190061"
"","","0.5","919","","","93","","0","","19190062"
"","","61","919","0","-180","33","","180","","19190063"
"","","1211","919","0","-180","33","","150","","19190064"
"","","117211","919","","","4","","0","","19190065"
"","","117211","919","19_nozomi_float","0","3","1","19_nozomi_notice_float","0.1","19190066"
"","","vo_fpc","919","0","","21","","vo_fpc_21907","","19190067"
"-30","0.5","117211","919","1","8","11","0","我也不能輸呢♪\n必須要更加更加閃耀才行！","0","19190068"
"","","0","919","","","91","","","","19190069"
"","","0.5","919","","","93","","0","","19190070"
"0.1","","117211","919","19_nozomi_pose_loop","0","3","1","19_nozomi_pose_in","0.1","19190071"
"","","1221","919","","","32","","1","","19190072"
"","","1211","919","","","32","","0","","19190073"
"","","1.5","919","","","93","","0","","19190074"
"","","vo_fpc","919","0","","21","","vo_fpc_21908","","19190075"
"0","0.5","110011","919","1","9","11","0","人家也要繼續嗨囉──！\n嗯～哈──！！","0","19190076"
"","","0","919","","","91","","","","19190077"
"","","0.5","919","","","93","","0","","19190078"
"0.1","","110011","919","19_suzuna_pose_loop","0","3","1","19_suzuna_pose_in","0.1","19190079"
"","","1222","919","","","32","","1","","19190080"
"","","1212","919","","","32","","0","","19190081"
"","","1.5","919","","","93","","0","","19190082"
"","","117211","919","7.35294117647059","-180","2","","1150","","19190083"
"","","61","919","7.35294117647059","-180","33","","1180","","19190084"
"","","1221","919","7.35294117647059","-180","33","","1150","","19190085"
"","","110011","919","7.35294117647059","-180","2","","850","","19190086"
"","","62","919","7.35294117647059","-180","33","","850","","19190087"
"","","1222","919","7.35294117647059","-180","33","","820","","19190088"
"","","vo_fpc","919","0","","21","","vo_fpc_21909","","19190089"
"0","0.5","117411","919","1","7","11","0","啊啊！又變得更耀眼了！？\n小、小望！等等我啊──！","0","19190090"
"","","0","919","","","91","","","","19190091"
"","","0.5","919","","","93","","0","","19190092"
"","","19190083","919","","","91","","","","19190093"
"0.1","","117411","919","19_tsumugi_run_loop","0","3","1","19_tsumugi_run_in","0.1","19190094"
"","","0.3","919","","","93","","0","","19190095"
"","","117411","919","1.46188652975983","-15","2","","750","","19190096"
"","","19190096","919","","","91","","","","19190097"
"1.4875","20_kasumi_walk","1","920","-750","22","1","-15","115711","0","19200001"
"1.4875","20_kasumi_walk","3","920","-750","23","5","-15","3","0","19200002"
"","","se_10053800","920","","1","23","","se_fpc_water_random","","19200003"
"","","19200002","920","","","91","","","","19200004"
"","","115711","920","4.41176470588235","-15","2","0","0","","19200005"
"","","3","920","4.41176470588235","-15","2","0","0","","19200006"
"","","0","920","","","91","","","","19200007"
"0.3","","115711","920","","1","3","","20_kasumi_talk","","19200008"
"0.3","","3","920","","1","3","","20_kasumi_talk","","19200009"
"","","vo_fpc","920","0","0","21","","vo_fpc_22000","","19200010"
"0","0.5","115711","920","1","8","11","0","名偵探霞的墨丘利度假村事件簿\n「布丁消失事件」","0","19200011"
"","","0","920","","","91","","","","19200012"
"","","0.5","920","","","93","","0","","19200013"
"0.2","","115711","920","20_kasumi_cool_surprise","0","3","1","20_kasumi_cool_in","0","19200014"
"0.2","","3","920","20_kasumi_cool_loop","0","3","1","20_kasumi_cool_in","0","19200015"
"","","vo_fpc","920","0","0","21","","vo_fpc_22001","","19200016"
"0","0.5","115711","920","1","8","11","0","預定要在美食街提供的布丁，\n在負責人移開視線的空檔全部消失……","0","19200017"
"","","0","920","","","91","","","","19200018"
"","","0.5","920","","","93","","0","","19200019"
"","","vo_fpc","920","0","0","21","","vo_fpc_22002","","19200020"
"0","0.5","115711","920","1","10","11","0","這起犯行發生在大庭廣眾下的美食街中。\n也沒有移動系魔法或魔導具的痕跡。","0","19200021"
"","","0","920","","","91","","","","19200022"
"","","0.5","920","","","93","","0","","19200023"
"0.2","","115711","920","20_kasumi_cool_anger","0","3","1","20_kasumi_cool_anger_in","0","19200024"
"0.2","","3","920","20_kasumi_cool_loop","0","3","1","20_kasumi_cool_anger_in","0","19200025"
"","","vo_fpc","920","0","0","21","","vo_fpc_22003","","19200026"
"0","0.5","115711","920","1","9","11","0","由於相關人士的不在場證明也很完美，\n犯人恐怕是外部的人。","0","19200027"
"","","0","920","","","91","","","","19200028"
"","","0.5","920","","","93","","0","","19200029"
"0.1","","115711","920","20_kasumi_approach_loop","0","3","1","20_kasumi_approach_in","0","19200030"
"0.1","","3","920","20_kasumi_approach_loop","0","3","1","20_kasumi_approach_in","0","19200031"
"","","vo_fpc","920","0","0","21","","vo_fpc_22004","","19200032"
"0","0.5","115711","920","1","9","11","0","從以上的情報中能夠進行\n犯罪側寫的犯人是……","0","19200033"
"","","0","920","","","91","","","","19200034"
"","","0.5","920","","","93","","0","","19200035"
"0.1","","115711","920","20_kasumi_doya_loop","0","3","1","20_kasumi_doya_in","0","19200036"
"0.1","","3","920","20_kasumi_doya_loop","0","3","1","20_kasumi_doya_in","0","19200037"
"","","vo_fpc","920","0","0","21","","vo_fpc_22005","","19200038"
"0","0.5","115711","920","1","8","11","0","最愛吃布丁、能夠穿牆，\n並且擁有把大家引頸期盼的布丁……","0","19200039"
"","","0","920","","","91","","","","19200040"
"","","0.5","920","","","93","","0","","19200041"
"","","vo_fpc","920","0","0","21","","vo_fpc_22006","","19200042"
"0","0.5","115711","920","1","8","11","0","一個人吃光也不會心痛，\n以自我為中心的精神結構……","0","19200043"
"","","0","920","","","91","","","","19200044"
"","","0.5","920","","","93","","0","","19200045"
"0.2","","115711","920","","1","3","","20_kasumi_thinking","","19200046"
"0.2","","3","920","","1","3","","20_kasumi_thinking","","19200047"
