e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"0","0.5","117411","1","919","0","ノゾミさん、どこに行ったんでしょう？\n新衣装の案を思いついたのに…","0","11","15","19190019"
"","","0","","919","","","","91","","19190020"
"","","0.5","","919","","0","","93","","19190021"
"","","19190016","","919","","","","91","","19190022"
"0.1","","117211","","919","","19_nozomi_float","","3","1","19190023"
"0.1","","117411","19_tsumugi_notice_loop","919","0.1","19_tsumugi_notice_in","1","3","0","19190024"
"","","0.2","","919","","0","","93","","19190025"
"","","vo_fpc","0","919","","vo_fpc_21901","","21","","19190026"
"0","0.5","117411","1","919","0","あら？　あれは…上流から何か\n光るものが…","0","11","10","19190027"
"","","0","","919","","","","91","","19190028"
"","","0.5","","919","","0","","93","","19190029"
"","","117211","7.35294117647059","919","","150","12","2","-180","19190030"
"","","61","7.35294117647059","919","","180","12","33","-180","19190031"
"","","1211","7.35294117647059","919","","150","12","33","-180","19190032"
"","","110011","7.35294117647059","919","","-150","12","2","-180","19190033"
"","","62","7.35294117647059","919","","-150","12","33","-180","19190034"
"","","1212","7.35294117647059","919","","-180","12","33","-180","19190035"
"","","2","","919","","0","","93","","19190036"
"0.1","","117411","19_tsumugi_dazzled_loop","919","0.1","19_tsumugi_dazzled_in","1","3","0","19190037"
"","","19190030","","919","","","","91","","19190038"
"","","vo_fpc","0","919","","vo_fpc_21902","","21","","19190039"
"-30","0.5","117211","1","919","0","メルクリゾートウィスタリアンズ、\n色んなエリアがあって\nすっごく楽しいね！","0","11","10","19190040"
"","","0","","919","","","","91","","19190041"
"","","0.5","","919","","0","","93","","19190042"
"","","vo_fpc","0","919","","vo_fpc_21903","","21","","19190043"
"0","0.5","110011","1","919","0","ねー♪　めっちゃ映える系？\n写真撮ろ写真～！","0","11","10","19190044"
"","","0","","919","","","","91","","19190045"
"","","0.5","","919","","0","","93","","19190046"
"","","vo_fpc","0","919","","vo_fpc_21904","","21","","19190047"
"0","0.5","117411","1","919","0","え。二人とも何してるんですか！？\nってか眩しすぎません？","0","11","10","19190048"
"","","0","","919","","","","91","","19190049"
"","","0.5","","919","","0","","93","","19190050"
"","","61","0","919","","150","","33","-180","19190051"
"","","1211","0","919","","120","","33","-180","19190052"
"","","117211","","919","","1","","4","","19190053"
"","","117211","19_nozomi_float","919","0.1","19_nozomi_notice_float","1","3","0","19190054"
"","","vo_fpc","0","919","","vo_fpc_21905","","21","","19190055"
"-30","0.5","117211","1","919","0","あ、ツムギ！\nスズナちゃんのカリスマオーラが\nすっごいからだよ！","0","11","10","19190056"
"","","0","","919","","","","91","","19190057"
"","","0.5","","919","","0","","93","","19190058"
"","","vo_fpc","0","919","","vo_fpc_21906","","21","","19190059"
"0","0.5","110011","1","919","0","え～、ノゾミンのアイドルオーラも\nあいかわらずキラッキラで\n鬼やばのやばっしょ！","0","11","10","19190060"
"","","0","","919","","","","91","","19190061"
"","","0.5","","919","","0","","93","","19190062"
"","","61","0","919","","180","","33","-180","19190063"
"","","1211","0","919","","150","","33","-180","19190064"
"","","117211","","919","","0","","4","","19190065"
"","","117211","19_nozomi_float","919","0.1","19_nozomi_notice_float","1","3","0","19190066"
"","","vo_fpc","0","919","","vo_fpc_21907","","21","","19190067"
"-30","0.5","117211","1","919","0","私も負けてられないな♪\nもっともっと輝かないと！","0","11","10","19190068"
"","","0","","919","","","","91","","19190069"
"","","0.5","","919","","0","","93","","19190070"
"0.1","","117211","19_nozomi_pose_loop","919","0.1","19_nozomi_pose_in","1","3","0","19190071"
"","","1221","","919","","1","","32","","19190072"
"","","1211","","919","","0","","32","","19190073"
"","","1.5","","919","","0","","93","","19190074"
"","","vo_fpc","0","919","","vo_fpc_21908","","21","","19190075"
"0","0.5","110011","1","919","0","ウチも、アゲていくよー！\nん～…たー！！","0","11","10","19190076"
"","","0","","919","","","","91","","19190077"
"","","0.5","","919","","0","","93","","19190078"
"0.1","","110011","19_suzuna_pose_loop","919","0.1","19_suzuna_pose_in","1","3","0","19190079"
"","","1222","","919","","1","","32","","19190080"
"","","1212","","919","","0","","32","","19190081"
"","","1.5","","919","","0","","93","","19190082"
"","","117211","7.35294117647059","919","","1150","","2","-180","19190083"
"","","61","7.35294117647059","919","","1180","","33","-180","19190084"
"","","1221","7.35294117647059","919","","1150","","33","-180","19190085"
"","","110011","7.35294117647059","919","","850","","2","-180","19190086"
"","","62","7.35294117647059","919","","850","","33","-180","19190087"
"","","1222","7.35294117647059","919","","820","","33","-180","19190088"
"","","vo_fpc","0","919","","vo_fpc_21909","","21","","19190089"
"0","0.5","117411","1","919","0","ああっ！　さらに眩しくっ！？\nノ、ノゾミさん！　待ってくださーい！","0","11","10","19190090"
"","","0","","919","","","","91","","19190091"
"","","0.5","","919","","0","","93","","19190092"
"","","19190083","","919","","","","91","","19190093"
"0.1","","117411","19_tsumugi_run_loop","919","0.1","19_tsumugi_run_in","1","3","0","19190094"
"","","0.3","","919","","0","","93","","19190095"
"","","117411","1.46188652975983","919","","750","","2","-15","19190096"
"","","19190096","","919","","","","91","","19190097"
"1.4875","20_kasumi_walk","1","-750","920","0","115711","-15","1","22","19200001"
"1.4875","20_kasumi_walk","3","-750","920","0","3","-15","5","23","19200002"
"","","se_10053800","","920","","se_fpc_water_random","","23","1","19200003"
"","","19200002","","920","","","","91","","19200004"
"","","115711","4.41176470588235","920","","0","0","2","-15","19200005"
"","","3","4.41176470588235","920","","0","0","2","-15","19200006"
"","","0","","920","","","","91","","19200007"
"0.3","","115711","","920","","20_kasumi_talk","","3","1","19200008"
"0.3","","3","","920","","20_kasumi_talk","","3","1","19200009"
"","","vo_fpc","0","920","","vo_fpc_22000","","21","0","19200010"
"0","0.5","115711","1","920","0","名探偵カスミのメルクリゾート事件簿\n「プリン消失事件」","0","11","10","19200011"
"","","0","","920","","","","91","","19200012"
"","","0.5","","920","","0","","93","","19200013"
"0.2","","115711","20_kasumi_cool_surprise","920","0","20_kasumi_cool_in","1","3","0","19200014"
"0.2","","3","20_kasumi_cool_loop","920","0","20_kasumi_cool_in","1","3","0","19200015"
"","","vo_fpc","0","920","","vo_fpc_22001","","21","0","19200016"
"0","0.5","115711","1","920","0","フードコートで提供予定だったプリンが\n担当者が目を離した隙にすべて消失…","0","11","10","19200017"
"","","0","","920","","","","91","","19200018"
"","","0.5","","920","","0","","93","","19200019"
"","","vo_fpc","0","920","","vo_fpc_22002","","21","0","19200020"
"0","0.5","115711","1","920","0","衆人環視のフードコートでの犯行。\n移動系の魔法や魔道具の痕跡も無し。","0","11","10","19200021"
"","","0","","920","","","","91","","19200022"
"","","0.5","","920","","0","","93","","19200023"
"0.2","","115711","20_kasumi_cool_anger","920","0","20_kasumi_cool_anger_in","1","3","0","19200024"
"0.2","","3","20_kasumi_cool_loop","920","0","20_kasumi_cool_anger_in","1","3","0","19200025"
"","","vo_fpc","0","920","","vo_fpc_22003","","21","0","19200026"
"0","0.5","115711","1","920","0","関係者のアリバイも完璧だったため\nおそらく犯人は外部の人間。","0","11","10","19200027"
"","","0","","920","","","","91","","19200028"
"","","0.5","","920","","0","","93","","19200029"
"0.1","","115711","20_kasumi_approach_loop","920","0","20_kasumi_approach_in","1","3","0","19200030"
"0.1","","3","20_kasumi_approach_loop","920","0","20_kasumi_approach_in","1","3","0","19200031"
"","","vo_fpc","0","920","","vo_fpc_22004","","21","0","19200032"
"0","0.5","115711","1","920","0","以上の情報からプロファイリング\nできる犯人は…","0","11","10","19200033"
"","","0","","920","","","","91","","19200034"
"","","0.5","","920","","0","","93","","19200035"
"0.1","","115711","20_kasumi_doya_loop","920","0","20_kasumi_doya_in","1","3","0","19200036"
"0.1","","3","20_kasumi_doya_loop","920","0","20_kasumi_doya_in","1","3","0","19200037"
"","","vo_fpc","0","920","","vo_fpc_22005","","21","0","19200038"
"0","0.5","115711","1","920","0","プリンが大好物で壁抜けができ、かつ\nみんなが楽しみにしているプリンを…","0","11","10","19200039"
"","","0","","920","","","","91","","19200040"
"","","0.5","","920","","0","","93","","19200041"
"","","vo_fpc","0","920","","vo_fpc_22006","","21","0","19200042"
"0","0.5","115711","1","920","0","一人で食べつくしても心が痛まない、\n自己中心的な精神構造…","0","11","10","19200043"
"","","0","","920","","","","91","","19200044"
"","","0.5","","920","","0","","93","","19200045"
"0.2","","115711","","920","","20_kasumi_thinking","","3","1","19200046"
"0.2","","3","","920","","20_kasumi_thinking","","3","1","19200047"
"","","vo_fpc","0","920","","vo_fpc_22007","","21","0","19200048"
"0","0.5","115711","1","920","0","果たして、そんな人物が、\n実在するのであろうか…","0","11","10","19200049"
"","","0","","920","","","","91","","19200050"
"","","0.5","","920","","0","","93","","19200051"
"0.2","","115711","","920","","20_kasumi_walk","","3","1","19200052"
"0.2","","3","","920","","20_kasumi_walk","","3","1","19200053"
"","","115711","4.41176470588235","920","","750","0","2","-15","19200054"
"","","3","4.41176470588235","920","","750","0","2","-15","19200055"
"","","0","","920","","","","91","","19200056"
"1.4875","20_kasumi_walk","1","-750","921","0","115711","-15","1","22","19210001"
"1.4875","20_kasumi_walk","3","-750","921","0","3","-15","5","23","19210002"
"","","se_10053800","","921","","se_fpc_water_random","","23","1","19210003"
"","","19210002","","921","","","","91","","19210004"
"","","115711","4.41176470588235","921","","0","0","2","-15","19210005"
"","","3","4.41176470588235","921","","0","0","2","-15","19210006"
"","","0","","921","","","","91","","19210007"
"0.3","","115711","","921","","20_kasumi_talk","","3","1","19210008"
"0.3","","3","","921","","20_kasumi_talk","","3","1","19210009"
"","","vo_fpc","0","921","","vo_fpc_22100","","21","0","19210010"
"0","0.5","115711","1","921","0","名探偵カスミのメルクリゾート事件簿\n「フードコート・全メニュー消失事件」","0","11","10","19210011"
"","","0","","921","","","","91","","19210012"
"","","0.5","","921","","0","","93","","19210013"
"0.2","","115711","20_kasumi_cool_surprise","921","0","20_kasumi_cool_in","1","3","0","19210014"
"0.2","","3","20_kasumi_cool_loop","921","0","20_kasumi_cool_in","1","3","0","19210015"
"","","vo_fpc","0","921","","vo_fpc_22101","","21","0","19210016"
"0","0.5","115711","1","921","0","フードコートで提供予定だった大量の\n料理がいつのまにか全て消失…","0","11","10","19210017"
"","","0","","921","","","","91","","19210018"
"","","0.5","","921","","0","","93","","19210019"
"0.2","","115711","20_kasumi_cool_anger","921","0","20_kasumi_cool_anger_in","1","3","0","19210020"
"0.2","","3","20_kasumi_cool_loop","921","0","20_kasumi_cool_anger_in","1","3","0","19210021"
"","","vo_fpc","0","921","","vo_fpc_22102","","21","0","19210022"
"0","0.5","115711","1","921","0","今回の事件で不可解な点は目撃者たちが\nことごとく口をつぐんでいる点だ。","0","11","10","19210023"
"","","0","","921","","","","91","","19210024"
"","","0.5","","921","","0","","93","","19210025"
"","","vo_fpc","0","921","","vo_fpc_22103","","21","0","19210026"
"0","0.5","115711","1","921","0","『ユース』や『ひめ』等と口にするものの\n皆目をそらして去っていく…","0","11","10","19210027"
"","","0","","921","","","","91","","19210028"
"","","0.5","","921","","0","","93","","19210029"
"0.1","","115711","20_kasumi_approach_loop","921","0","20_kasumi_approach_in","1","3","0","19210030"
"0.1","","3","20_kasumi_approach_loop","921","0","20_kasumi_approach_in","1","3","0","19210031"
"","","vo_fpc","0","921","","vo_fpc_22104","","21","0","19210032"
"0","0.5","115711","1","921","0","まるで巨大な力をもった闇の権力者集団\nでもいるかのように。","0","11","10","19210033"
"","","0","","921","","","","91","","19210034"
"","","0.5","","921","","0","","93","","19210035"
"0.2","","115711","20_kasumi_arm_crossed_loop","921","0","20_kasumi_arm_crossed_in","1","3","0","19210036"
"0.2","","3","20_kasumi_arm_crossed_loop","921","0","20_kasumi_arm_crossed_in","1","3","0","19210037"
"","","vo_fpc","0","921","","vo_fpc_22105","","21","0","19210038"
"0","0.5","115711","1","921","0","いや、そんな陰謀論はナンセンスだね。\n探偵が追うのは真実のみ。","0","11","10","19210039"
"","","0","","921","","","","91","","19210040"
"","","0.5","","921","","0","","93","","19210041"
"0.2","","115711","","921","","20_kasumi_doya_loop","","3","1","19210042"
"0.2","","3","","921","","20_kasumi_doya_loop","","3","1","19210043"
"","","vo_fpc","0","921","","vo_fpc_22106","","21","0","19210044"
"0","0.5","115711","1","921","0","興味深いことに、代金はきちんと\n支払われているらしい。","0","11","10","19210045"
"","","0","","921","","","","91","","19210046"
"","","0.5","","921","","0","","93","","19210047"
"0.2","","115711","","921","","20_kasumi_thinking_ExBlink","","3","1","19210048"
"0.2","","3","","921","","20_kasumi_thinking_ExBlink","","3","1","19210049"
"","","vo_fpc","0","921","","vo_fpc_22107","","21","0","19210050"
"0","0.5","115711","1","921","0","ずいぶん几帳面な犯人だね。しかし、\nユース、ひめ…いったい何者なんだ？","0","11","10","19210051"
"","","0","","921","","","","91","","19210052"
"","","0.5","","921","","0","","93","","19210053"
"0.2","","115711","","921","","20_kasumi_thinking","","3","1","19210054"
"0.2","","3","","921","","20_kasumi_thinking","","3","1","19210055"
"","","vo_fpc","0","921","","vo_fpc_22108","","21","0","19210056"
"0","0.5","115711","1","921","0","果たして、そんな人物が、\n実在するのであろうか…","0","11","10","19210057"
